user_id,age,Gender,Gender(Other),music_listening_frequency,music_listening_duration,music_streaming_platform_spotify,music_streaming_platform_youtube_music,music_streaming_platform_apple_music,music_streaming_platform_netease_cloud_music,music_streaming_platform_qq_music,music_streaming_platform_other,music_listening_situation_commuting_traveling,music_listening_situation_studying_working,music_listening_situation_exercising_training,music_listening_situation_relaxing_break,music_listening_situation_before_bed,music_listening_situation_social,music_listening_situation_other,music_choice_method_mood,music_choice_method_habit_favorite_playlists,music_choice_method_platform_recommendations,music_choice_method_friend_recommendations,music_choice_method_shuffle_play,music_choice_method_other,music_emotion_awareness,music_genre_classical,music_genre_pop,music_genre_rock,music_genre_metal,music_genre_electronic,music_genre_hip_hop_rap,music_genre_soul,music_genre_jazz,music_genre_blues,music_genre_folk,music_genre_world_music,music_genre_film_game_music,music_genre_other,music_appealing_element_melody,music_appealing_element_rhythm,music_appealing_element_lyrics,music_appealing_element_vocals,music_appealing_element_arrangement_production,music_appealing_element_emotional_expression,music_appealing_element_other,preferred_music_emotion_wonder,preferred_music_emotion_transcendence,preferred_music_emotion_tenderness,preferred_music_emotion_nostalgia,preferred_music_emotion_peacefulness,preferred_music_emotion_power,preferred_music_emotion_joyful_activation,preferred_music_emotion_tension,preferred_music_emotion_sadness,"Do you usually enjoy searching for new music? (Single choice) I really enjoy it and search often, i occasionally listen to new songs, i mostly listen to songs i already know, i hardly ever listen to new music",new_music_discovery_source_platform_recommendations,new_music_discovery_source_friend_recommendations,new_music_discovery_source_sns_social_media,new_music_discovery_source_movies_commercials,new_music_discovery_source_self_search,new_music_discovery_source_other,tipi_extraverted_enthusiastic,tipi_critical_quarrelsome,tipi_dependable_self_disciplined,tipi_anxious_easily_upset,tipi_open_complex,tipi_reserved_quiet,tipi_sympathetic_warm,tipi_disorganized_careless,tipi_calm_emotionally_stable,tipi_conventional_uncreative
13,25,female,,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,5,2,6,3,6,3,6,3,6,5
14,23,male,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,2,3,4,5,4,6,6,7,5,4
15,23,male,,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,4,7,7,7,7,4,7,6,6,1
16,25,male,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,5,4,4,5,4,6,4,6,3
17,24,male,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,7,5,6,5,5,1,7,3,5,3
17,24,male,,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,7,5,6,5,6,2,7,2,5,4
18,24,female,,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,6,6,3,6,7,3,7,5,2,3
19,26,male,,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,2,3,3,6,6,6,6,4,4,5
20,26,female,,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,5,2,3,2,6,3,6,2,6,2
21,22,female,,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,5,2,6,5,6,6,7,2,6,3
22,22,female,,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,6,2,5,5,6,6,6,2,5,5
23,31,male,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,3,2,5,2,5,6,6,3,6,3
24,29,male,,0,3,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,6,7,6,7,7,2,2,7,5,1
25,23,female,,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,5,2,6,4,6,5,6,2,6,4
26,25,female,,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,6,4,5,2,6,2,6,5,3,3
27,23,female,,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,6,2,7,2,5,2,5,2,7,2
28,27,male,,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,6,6,6,6,4,6,2,5,5
29,24,male,,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,3,1,0,1,1,0,0,6,2,3,2,4,2,6,5,4,5
30,34,male,,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,5,3,5,2,5,5,5,3,5,3
31,29,male,,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4,5,5,5,5,4,5,5,5,3
32,26,male,,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,5,2,6,2,4,3,5,3,6,5
33,28,male,,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,3,3,4,5,5,5,5,5,4,5
34,23,female,,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,5,2,6,2,7,5,6,3,6,2
35,27,female,,0,3,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,7,1,6,4,4,1,6,1
36,31,female,,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,3,6,5,7,7,6,2,7,5
37,25,female,,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,6,3,5,5,6,5,7,2,4,2
38,30,male,,0,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,4,2,6,4,5,6,6,2,6,5
39,22,female,,0,3,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,6,3,7,2,7,2,7,6,6,2
40,28,female,,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,2,1,1,0,1,0,0,5,1,6,4,4,5,6,1,6,5
41,23,female,,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,6,2,5,5,6,5,5,3,5,3
42,23,female,,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,5,3,5,2,3,4,6,3,3,5
43,28,male,,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,3,0,0,0,0,1,0,4,2,4,4,3,4,5,4,6,4
44,23,male,,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,5,3,5,4,4,3,6,4,5,3
45,27,male,,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,5,6,7,7,7,5,3,2,1
46,26,female,,0,2,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,5,5,5,2,7,3,3,1,6,3
47,27,female,,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,4,2,6,2,6,6,7,2,6,2
48,28,female,,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,4,4,6,4,5,5,5,2
49,24,male,,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,4,3,4,7,4,5,3,5,2
50,24,female,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,5,2,5,5,5,6,5,5,6,6
51,36,female,,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,2,6,3,3,6,6,2,6,2
52,23,male,,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,6,3,5,3,6,3,5,5,6,2
53,29,female,,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,6,2,7,5,6,5,5,3,5
54,25,male,,0,3,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,5,2,7,6,7,6,5,2,6,2
55,24,male,,0,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,1,1,0,4,7,7,7,7,7,7,1,7,6
56,25,female,,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,2,5,3,5,6,6,2,5,5,4
57,24,male,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,2,1,2,6,2,2,6,6,4,6
58,22,male,,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,3,3,6,7,5,7,6,4,2
59,24,male,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,2,4,6,4,5,5,2,6,1
60,28,female,,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,3,5,3,6,7,6,6,5,2,3
